Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
100,KSC,SpaceX CRS-21,"2,972 kg",LEO,Sirius XM,"Success
",,Success,25 November 2020,02:13
101,CCSFS,SXM-7,"7,000 kg",GTO,NRO,"Success
",,Success,6 December 2020,16:17:08
102,KSC,NROL-108,C,LEO,Türksat,"Success
",,Success,13 December 2020,17:30:00
103,CCSFS,Türksat 5A,"3,500 kg",GTO,SpaceX,"Success
",,Success,19 December 2020,14:00:00
104,KSC,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,Failure,8 January 2021,02:15
105,CCSFS,Transporter-1,"~5,000 kg",SSO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,,Failure,20 January 2021,13:02
106,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,,"No attempt
",24 January 2021,15:00
1,CCAFS,Dragon,0,LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,No attempt,4 June 2010,18:45
2,CCAFS,Dragon,525 kg,LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,"No attempt
",8 December 2010,15:43
3,CCAFS,SpaceX CRS-1,"4,700 kg",LEO,"<a href=""/wiki/Maxar_Technologies"" title=""Maxar Technologies"">MDA</a>",Success,,Uncontrolled,22 May 2012,07:44
4,CCAFS,SpaceX CRS-2,"4,877 kg",LEO,"<a href=""/wiki/SES_S.A."" title=""SES S.A."">SES</a>",Success,,No attempt,8 October 2012,00:35
5,VAFB,CASSIOPE,500 kg,Polar orbit,"<a href=""/wiki/Thaicom"" title=""Thaicom"">Thaicom</a>",Success,,No attempt,1 March 2013,15:10
6,CCAFS,SES-8,"3,170 kg",GTO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,Controlled,29 September 2013,16:00
7,CCAFS,Thaicom 6,"3,325 kg",GTO,"<a href=""/wiki/Orbcomm"" title=""Orbcomm"">Orbcomm</a>",Success,,Controlled,3 December 2013,22:41
8,Cape Canaveral,SpaceX CRS-3,"2,296 kg",LEO,"<a href=""/wiki/AsiaSat"" title=""AsiaSat"">AsiaSat</a>",Success,,No attempt,6 January 2014,22:06
9,Cape Canaveral,Orbcomm-OG2,"1,316 kg",LEO,"<a href=""/wiki/AsiaSat"" title=""AsiaSat"">AsiaSat</a>",Success,,"No attempt
",18 April 2014,19:25
10,Cape Canaveral,AsiaSat 8,"4,535 kg",GTO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,,Uncontrolled,14 July 2014,15:15
11,Cape Canaveral,AsiaSat 6,"4,428 kg",GTO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,,Failure ,5 August 2014,08:00
12,Cape Canaveral,SpaceX CRS-4,"2,216 kg",LEO,"<a href=""/wiki/United_States_Air_Force"" title=""United States Air Force"">USAF</a>","Success
",,Controlled,7 September 2014,05:00
13,Cape Canaveral,SpaceX CRS-5,"2,395 kg",LEO,"<a class=""mw-redirect"" href=""/wiki/Asia_Broadcast_Satellite"" title=""Asia Broadcast Satellite"">ABS</a>","Success
",,No attempt,21 September 2014,05:52
14,Cape Canaveral,DSCOVR,570 kg,HEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,Failure,10 January 2015,09:47
15,Cape Canaveral,ABS-3A,"4,159 kg",GTO,"<a href=""/wiki/Turkmenistan_National_Space_Agency"" title=""Turkmenistan National Space Agency"">Turkmenistan National<br/>Space Agency</a>","Success
",,No attempt,11 February 2015,23:03
16,Cape Canaveral,SpaceX CRS-6,"1,898 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Failure,,Precluded,2 March 2015,03:50
17,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,"<a href=""/wiki/Orbcomm"" title=""Orbcomm"">Orbcomm</a>","Success
",,Success,14 April 2015,20:10
18,Cape Canaveral,SpaceX CRS-7,"1,952 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,Failure,27 April 2015,23:03
19,Cape Canaveral,Orbcomm-OG2,"2,034 kg",LEO,"<a href=""/wiki/SES_S.A."" title=""SES S.A."">SES</a>","Success
",,Failure,28 June 2015,14:21
20,VAFB,Jason-3,553 kg,LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,,Success,22 December 2015,01:29
21,Cape Canaveral,SES-9,"5,271 kg",GTO,"<a href=""/wiki/SKY_Perfect_JSAT"" title=""SKY Perfect JSAT"">SKY Perfect JSAT Group</a>","Success
",,Success,17 January 2016,18:42
22,Cape Canaveral,SpaceX CRS-8,"3,136 kg",LEO,"<a href=""/wiki/Thaicom"" title=""Thaicom"">Thaicom</a>","Success
",,Success,4 March 2016,23:35
23,Cape Canaveral,JCSAT-14,"4,696 kg",GTO,"<a class=""mw-redirect"" href=""/wiki/Asia_Broadcast_Satellite"" title=""Asia Broadcast Satellite"">ABS</a>","Success
",,Failure,8 April 2016,20:43
24,Cape Canaveral,Thaicom 8,"3,100 kg",GTO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,Success,6 May 2016,05:21
25,Cape Canaveral,ABS-2A,"3,600 kg",GTO,"<a class=""mw-redirect"" href=""/wiki/SKY_Perfect_JSAT_Group"" title=""SKY Perfect JSAT Group"">SKY Perfect JSAT Group</a>","Success
",,Success,27 May 2016,21:39
26,Cape Canaveral,SpaceX CRS-9,"2,257 kg",LEO,"<a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>","Success
",,Success,15 June 2016,14:29
27,Cape Canaveral,JCSAT-16,"4,600 kg",GTO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,Success,18 July 2016,04:45
28,VAFB,Iridium NEXT,"9,600 kg",Polar,"<a href=""/wiki/EchoStar"" title=""EchoStar"">EchoStar</a>","Success
",,No attempt,14 August 2016,05:26
29,KSC,SpaceX CRS-10,"2,490 kg",LEO,"<a href=""/wiki/SES_S.A."" title=""SES S.A."">SES</a>",Success,,Success,14 January 2017,17:54
30,KSC,EchoStar 23,"5,600 kg",GTO,"<a href=""/wiki/National_Reconnaissance_Office"" title=""National Reconnaissance Office"">NRO</a>","Success
",,Success,19 February 2017,14:39
31,KSC,SES-10,"5,300 kg",GTO,"<a href=""/wiki/Inmarsat"" title=""Inmarsat"">Inmarsat</a>","Success
",,No attempt,16 March 2017,06:00
32,KSC,NROL-76,C,LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,Success,30 March 2017,22:27
33,KSC,Inmarsat-5 F4,"6,070 kg",GTO,"<a href=""/wiki/Bulsatcom"" title=""Bulsatcom"">Bulsatcom</a>","Success
",,Success,1 May 2017,11:15
34,KSC,SpaceX CRS-11,"2,708 kg",LEO,"<a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>","Success
",,Success,15 May 2017,23:21
35,KSC,BulgariaSat-1,"3,669 kg",GTO,"<a href=""/wiki/Intelsat"" title=""Intelsat"">Intelsat</a>","Success
",,No attempt,3 June 2017,21:07
36,VAFB,Iridium NEXT,"9,600 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,Success,23 June 2017,19:10
37,KSC,Intelsat 35e,"6,761 kg",GTO,"<a class=""mw-redirect"" href=""/wiki/National_Space_Organization"" title=""National Space Organization"">NSPO</a>","Success
",,Success,25 June 2017,20:25
38,KSC,SpaceX CRS-12,"3,310 kg",LEO,"<a href=""/wiki/United_States_Air_Force"" title=""United States Air Force"">USAF</a>","Success
",,Success,5 July 2017,23:38
39,VAFB,Formosat-5,475 kg,SSO,"<a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>","Success
",,Success,14 August 2017,16:31
40,KSC,Boeing X-37B,"4,990 kg",LEO,"<a href=""/wiki/SES_S.A."" title=""SES S.A."">SES S.A.</a>","Success
",,Success,24 August 2017,18:51
41,VAFB,Iridium NEXT,"9,600 kg",Polar,"<a href=""/wiki/KT_Corporation"" title=""KT Corporation"">KT Corporation</a>","Success
",,Success,7 September 2017,14:00
42,KSC,SES-11,"5,200 kg",GTO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,Success,9 October 2017,12:37
43,KSC,Koreasat 5A,"3,500 kg",GTO,"<a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>",Success,,Controlled,11 October 2017,22:53:00
44,Cape Canaveral,SpaceX CRS-13,"2,205 kg",LEO,"<a href=""/wiki/Northrop_Grumman"" title=""Northrop Grumman"">Northrop Grumman</a>",Success,,Success,30 October 2017,19:34
45,VAFB,Iridium NEXT,"9,600 kg",Polar,"<a href=""/wiki/SES_S.A."" title=""SES S.A."">SES</a>",Success,,Controlled,15 December 2017,15:36
46,CCAFS,Zuma,C,LEO,"<a href=""/wiki/Hisdesat"" title=""Hisdesat"">Hisdesat</a>",Success,,No attempt,23 December 2017,01:27
47,CCAFS,GovSat-1,"4,230 kg",GTO,"<a href=""/wiki/Hispasat"" title=""Hispasat"">Hispasat</a>",Success,,No attempt,8 January 2018,01:00
48,VAFB,Paz,"2,150 kg",SSO,"<a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>",Success,,No attempt,31 January 2018,21:25
49,CCAFS,Hispasat 30W-6,"6,092 kg",GTO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,,No attempt,22 February 2018,14:17
50,VAFB,Iridium NEXT,"9,600 kg",Polar,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,,Success,6 March 2018,05:33
51,CCAFS,SpaceX CRS-14,"2,647 kg",LEO,"<a href=""/wiki/Thales_Alenia_Space"" title=""Thales Alenia Space"">Thales-Alenia</a>",Success,,Success,30 March 2018,14:14
52,CCAFS,Transiting Exoplanet Survey Satellite,362 kg,HEO,"<a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>",Success,,No attempt,2 April 2018,20:30
53,KSC,Bangabandhu-1,"3,600 kg",GTO,"<a href=""/wiki/SES_S.A."" title=""SES S.A."">SES</a>",Success,,No attempt,18 April 2018,22:51
54,VAFB,Iridium NEXT,"6,460 kg",Polar,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,,No attempt,11 May 2018,20:14
55,CCAFS,SES-12,"5,384 kg",GTO,"<a href=""/wiki/Telesat"" title=""Telesat"">Telesat</a>",Success,,Success,22 May 2018,19:47
56,CCAFS,SpaceX CRS-15,"2,697 kg",LEO,"<a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>",Success,,Success,4 June 2018,04:45
57,CCAFS,Telstar 19V,"7,075 kg",GTO,"<a href=""/wiki/Telkom_Indonesia"" title=""Telkom Indonesia"">Telkom Indonesia</a>",Success,,Success,29 June 2018,09:42
58,VAFB,Iridium NEXT,"9,600 kg",Polar,"<a href=""/wiki/Telesat"" title=""Telesat"">Telesat</a>",Success,,Success,22 July 2018,05:50
59,CCAFS,Merah Putih,"5,800 kg",GTO,"<a class=""mw-redirect"" href=""/wiki/Comisi%C3%B3n_Nacional_de_Actividades_Espaciales"" title=""Comisión Nacional de Actividades Espaciales"">CONAE</a>",Success,,Success,25 July 2018,11:39
60,CCAFS,Telstar 18V,"7,060 kg",GTO,"<a href=""/wiki/Es%27hailSat"" title=""Es'hailSat"">Es'hailSat</a>",Success,,Success,7 August 2018,05:18
61,VAFB,SAOCOM 1A,"3,000 kg",SSO,"<a href=""/wiki/Spaceflight_Industries"" title=""Spaceflight Industries"">Spaceflight Industries</a>",Success,,Success,10 September 2018,04:45
62,KSC,Es'hail 2,"5,300 kg",GTO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,Failure,8 October 2018,02:22
63,VAFB,SSO-A,"~4,000 kg",SSO,"<a href=""/wiki/United_States_Air_Force"" title=""United States Air Force"">USAF</a>",Success,,No attempt,15 November 2018,20:46
64,CCAFS,SpaceX CRS-16,"2,500 kg",LEO,"<a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>","Success
",,Success,3 December 2018,18:34:05
65,CCAFS,GPS III,"4,400 kg",MEO,"<a href=""/wiki/PT_Pasifik_Satelit_Nusantara"" title=""PT Pasifik Satelit Nusantara"">PSN</a>","Success
",,Success,5 December 2018,18:16
66,VAFB,Iridium NEXT,"9,600 kg",Polar,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,Success,23 December 2018,13:51
67,CCAFS,Nusantara Satu,"4,850 kg",GTO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,Success,11 January 2019,15:31
68,KSC,Crew Dragon Demo-1,"12,055 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,Success,22 February 2019,01:45
69,CCAFS,SpaceX CRS-17,"2,495 kg",LEO,"<a href=""/wiki/Canadian_Space_Agency"" title=""Canadian Space Agency"">Canadian Space Agency</a>","Success
",,Success,2 March 2019,07:49
70,CCAFS,Starlink,"13,620 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,Success,4 May 2019,06:48
71,VAFB,RADARSAT Constellation,"4,200 kg",SSO,"<a href=""/wiki/Spacecom"" title=""Spacecom"">Spacecom</a>","Success
",,No attempt,24 May 2019,02:30
72,CCAFS,SpaceX CRS-18,"2,268 kg",LEO,"<a href=""/wiki/Spacecom"" title=""Spacecom"">SpaceX</a>","Success
",,Success,12 June 2019,14:17
73,CCAFS,AMOS-17,"6,500 kg",GTO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,Success,25 July 2019,22:01
74,CCAFS,Starlink,"15,600 kg",LEO,"<a class=""mw-redirect"" href=""/wiki/SKY_Perfect_JSAT_Group"" title=""SKY Perfect JSAT Group"">Sky Perfect JSAT</a>","Success
",,Success,6 August 2019,23:23
75,CCAFS,SpaceX CRS-19,"2,617 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,Success,11 November 2019,14:56
76,CCAFS,JCSat-18,"6,956 kg",GTO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,"No attempt
",5 December 2019,17:29
77,CCAFS,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,Success,17 December 2019,00:10
78,KSC,Crew Dragon in-flight abort test,"12,050 kg",Sub-orbital,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,Failure,7 January 2020,02:19:21
79,CCAFS,Starlink,"15,600 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,Success,19 January 2020,15:30
80,CCAFS,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,Failure,29 January 2020,14:07
81,CCAFS,SpaceX CRS-20,"1,977 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,Success,17 February 2020,15:05
82,KSC,Starlink,"15,600 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,Success,7 March 2020,04:50
83,KSC,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,Success,18 March 2020,12:16
84,KSC,Crew Dragon Demo-2,"12,530 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,Success,22 April 2020,19:30
85,CCAFS,Starlink,"15,600 kg",LEO,"<a href=""/wiki/United_States_Space_Force"" title=""United States Space Force"">U.S. Space Force</a>","Success
",,Success,30 May 2020,19:22
86,CCAFS,Starlink,"15,410 kg",LEO,"<a href=""/wiki/Republic_of_Korea_Army"" title=""Republic of Korea Army"">Republic of Korea Army</a>","Success
",,Success,4 June 2020,01:25
87,CCAFS,GPS III,"4,311 kg",MEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,Success,13 June 2020,09:21
88,CCAFS,ANASIS-II,"5,000–6,000 kg",GTO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,Success,30 June 2020,20:10:46
89,KSC,Starlink,"14,932 kg",LEO,"<a class=""mw-redirect"" href=""/wiki/CONAE"" title=""CONAE"">CONAE</a>","Success
",,Success,20 July 2020,21:30
90,CCAFS,Starlink,"~15,440 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,Success,7 August 2020,05:12
91,CCAFS,SAOCOM 1B,"3,130 kg",SSO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,Success,18 August 2020,14:31
92,KSC,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,Success,30 August 2020,23:18
93,KSC,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,Success,3 September 2020,12:46:14
94,KSC,Starlink,"15,600 kg",LEO,"<a href=""/wiki/United_States_Space_Force"" title=""United States Space Force"">USSF</a>","Success
",,Success,6 October 2020,11:29:34
95,CCAFS,Starlink,"15,600 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,Success,18 October 2020,12:25:57
96,CCAFS,GPS III,"4,311 kg",MEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,Success,24 October 2020,15:31:34
97,KSC,Crew-1,"~12,500 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,Success,5 November 2020,23:24:23
98,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,Success,16 November 2020,00:27
99,CCAFS,Starlink,"15,600 kg",LEO,"<a href=""/wiki/Sirius_XM"" title=""Sirius XM"">Sirius XM</a>","Success
",,Success,21 November 2020,17:17:08
100,KSC,SpaceX CRS-21,"2,972 kg",LEO,"<a href=""/wiki/National_Reconnaissance_Office"" title=""National Reconnaissance Office"">NRO</a>","Success
",,Success,25 November 2020,02:13
101,CCSFS,SXM-7,"7,000 kg",GTO,"<a href=""/wiki/T%C3%BCrksat_(company)"" title=""Türksat (company)"">Türksat</a>","Success
",,Success,6 December 2020,16:17:08
102,KSC,NROL-108,C,LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,Success,13 December 2020,17:30:00
103,CCSFS,Türksat 5A,"3,500 kg",GTO,,"Success
",,Failure,19 December 2020,14:00:00
104,KSC,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",Success,,Failure,8 January 2021,02:15
105,CCSFS,Transporter-1,"~5,000 kg",SSO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",Success,,"No attempt
",20 January 2021,13:02
106,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,No attempt,24 January 2021,15:00
1,CCAFS,Dragon,0,LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,"No attempt
",4 June 2010,18:45
2,CCAFS,Dragon,525 kg,LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",Success,,Uncontrolled,8 December 2010,15:43
3,CCAFS,SpaceX CRS-1,"4,700 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",Success,,No attempt,22 May 2012,07:44
4,CCAFS,SpaceX CRS-2,"4,877 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",Success,,No attempt,8 October 2012,00:35
5,VAFB,CASSIOPE,500 kg,Polar orbit,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,Controlled,1 March 2013,15:10
6,CCAFS,SES-8,"3,170 kg",GTO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",Success,,Controlled,29 September 2013,16:00
7,CCAFS,Thaicom 6,"3,325 kg",GTO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",Success,,No attempt,3 December 2013,22:41
8,Cape Canaveral,SpaceX CRS-3,"2,296 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",Success,,"No attempt
",6 January 2014,22:06
9,Cape Canaveral,Orbcomm-OG2,"1,316 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",Success,,Uncontrolled,18 April 2014,19:25
10,Cape Canaveral,AsiaSat 8,"4,535 kg",GTO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",Success,,Failure ,14 July 2014,15:15
11,Cape Canaveral,AsiaSat 6,"4,428 kg",GTO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,Controlled,5 August 2014,08:00
12,Cape Canaveral,SpaceX CRS-4,"2,216 kg",LEO,"<a href=""/wiki/Sirius_XM"" title=""Sirius XM"">Sirius XM</a>","Success
",,No attempt,7 September 2014,05:00
13,Cape Canaveral,SpaceX CRS-5,"2,395 kg",LEO,,"Success
",,Failure,21 September 2014,05:52
14,Cape Canaveral,DSCOVR,570 kg,HEO,,"Success
",,No attempt,10 January 2015,09:47
15,Cape Canaveral,ABS-3A,"4,159 kg",GTO,,Failure,,Precluded,11 February 2015,23:03
16,Cape Canaveral,SpaceX CRS-6,"1,898 kg",LEO,,"Success
",,Success,2 March 2015,03:50
